TP,Taxa,Disease_group,Coral_ID,Coral_no,Y(II)1,Y(II)2,Y(II)3,Y(II)4,Y(II)5,Avg
September_2022,Acro,Acro_acute_D_D,1,1,0.392,0.408,0.494,0.456,0.461,0.4422
September_2022,Acro,Acro_acute_D_H,1,1,0.661,0.67,0.643,0.644,0.642,0.652
September_2022,Acro,Acro_acute_D_D,2,2,0.449,0.576,0.52,0.435,0.511,0.4982
September_2022,Acro,Acro_acute_D_H,2,2,0.556,0.555,0.515,0.511,0.519,0.5312
September_2022,Acro,Acro_acute_D_D,3,3,0.591,0.648,0.635,0.43,0.58,0.5768
September_2022,Acro,Acro_acute_D_H,3,3,0.677,0.673,0.678,0.659,0.659,0.6692
September_2022,Acro,Acro_acute_D_D,4,4,0.481,0.472,0.492,0.507,0.511,0.4926
September_2022,Acro,Acro_acute_D_H,4,4,0.545,0.595,0.579,0.565,0.567,0.5702
September_2022,Acro,Acro_acute_D_D,5,5,0.476,0.45,0.429,0.471,0.504,0.466
September_2022,Acro,Acro_acute_D_H,5,5,0.612,0.616,0.624,0.617,0.621,0.618
September_2022,Acro,Acro_GA_D_D,6,1,0.66,0.67,0.604,0.61,0.565,0.6218
September_2022,Acro,Acro_GA_D_H,6,1,0.623,0.571,0.536,0.551,0.521,0.5604
September_2022,Acro,Acro_GA_D_D,7,2,0.614,0.604,0.602,0.576,0.535,0.5862
September_2022,Acro,Acro_GA_D_H,7,2,0.667,0.669,0.688,0.689,0.699,0.6824
September_2022,Acro,Acro_GA_D_D,8,3,0.521,0.543,0.58,0.56,0.496,0.54
September_2022,Acro,Acro_GA_D_H,8,3,0.648,0.653,0.688,0.589,0.593,0.6342
September_2022,Acro,Acro_GA_D_D,9,4,0.675,0.666,0.667,0.648,0.645,0.6602
September_2022,Acro,Acro_GA_D_H,9,4,0.617,0.609,0.647,0.633,0.657,0.6326
September_2022,Acro,Acro_GA_D_D,10,5,0.568,0.562,0.583,0.589,0.578,0.576
September_2022,Acro,Acro_GA_D_H,10,5,0.616,0.585,0.603,0.64,0.627,0.6142
September_2022,Acro,Acro_H,11,1,0.523,0.54,0.537,0.526,0.514,0.528
September_2022,Acro,Acro_H,12,2,0.584,0.564,0.585,0.569,0.572,0.5748
September_2022,Acro,Acro_H,13,3,0.642,0.649,0.588,0.592,0.563,0.6068
September_2022,Acro,Acro_H,14,4,0.583,0.622,0.614,0.607,0.588,0.6028
September_2022,Acro,Acro_H,15,5,0.619,0.58,0.58,0.563,0.535,0.5754
September_2022,Monti,Monti_D_D,16,1,0.56,0.575,0.567,0.645,0.643,0.598
September_2022,Monti,Monti_D_H,16,1,0.525,0.448,0.485,0.44,0.472,0.474
September_2022,Monti,Monti_D_D,17,2,0.176,0.223,0.243,0.333,0.182,0.2314
September_2022,Monti,Monti_D_H,17,2,0.302,0.317,0.285,0.311,0.326,0.3082
September_2022,Monti,Monti_D_D,18,3,0.415,0.447,0.42,0.425,0.427,0.4268
September_2022,Monti,Monti_D_H,18,3,0.637,0.636,0.63,0.629,0.624,0.6312
September_2022,Monti,Monti_D_D,19,4,0.238,0.358,0.339,0.383,0.364,0.3364
September_2022,Monti,Monti_D_H,19,4,0.535,0.556,0.583,0.517,0.52,0.5422
September_2022,Monti,Monti_D_D,20,5,0.386,0.358,0.459,0.323,0.397,0.3846
September_2022,Monti,Monti_D_H,20,5,0.569,0.545,0.527,0.472,0.571,0.5368
September_2022,Monti,Monti_GA_D,21,1,0.602,0.516,0.455,0.538,0.436,0.5094
September_2022,Monti,Monti_GA_H,21,1,0.641,0.596,0.68,0.62,0.669,0.6412
September_2022,Monti,Monti_GA_D,22,2,0.297,0.472,0.373,0.485,0.436,0.4126
September_2022,Monti,Monti_GA_H,22,2,0.491,0.511,0.528,0.51,0.506,0.5092
September_2022,Monti,Monti_GA_D,23,3,0.517,0.559,0.593,0.549,0.568,0.5572
September_2022,Monti,Monti_GA_H,23,3,0.53,0.526,0.512,0.487,0.497,0.5104
September_2022,Monti,Monti_GA_D,24,4,0.488,0.409,0.597,0.689,0.558,0.5482
September_2022,Monti,Monti_GA_H,24,4,0.624,0.62,0.586,0.623,0.604,0.6114
September_2022,Monti,Monti_GA_D,25,5,0.571,0.554,0.564,0.559,0.496,0.5488
September_2022,Monti,Monti_GA_H,25,5,0.426,0.294,0.426,0.426,0.422,0.3988
April_2022,Acro,Acro_acute_D_D,26,1,0.544,0.521,0.38,0.4,0.43,0.455
April_2022,Acro,Acro_acute_D_D,27,2,0.529,0.261,0.345,0.382,0.469,0.3972
April_2022,Acro,Acro_acute_D_D,28,3,0.579,0.606,0.38,0.402,0.443,0.482
April_2022,Acro,Acro_chronic_D_D,29,1,0.424,0.438,0.448,0.423,0.46,0.4386
April_2022,Acro,Acro_chronic_D_D,30,2,0.441,0.437,0.447,0.385,0.396,0.4212
April_2022,Acro,Acro_chronic_D_D,31,3,0.436,0.463,0.446,0.461,0.46,0.4532
April_2022,Acro,Acro_GA_D_D,32,1,0.645,0.583,0.624,0.629,0.667,0.6296
April_2022,Acro,Acro_GA_D_D,33,2,0.631,0.536,0.546,0.549,0.652,0.5828
April_2022,Acro,Acro_GA_D_D,34,3,0.652,0.661,0.625,0.646,0.645,0.6458
April_2022,Acro,Acro_H,35,1,0.654,0.664,0.65,0.593,0.606,0.6334
April_2022,Acro,Acro_H,36,2,0.601,0.606,0.591,0.604,0.612,0.6028
April_2022,Acro,Acro_H,37,3,0.628,0.62,0.63,0.61,0.626,0.6228
December_2022,Acro,Acro_acute_D_D,38,1,0.594,0.585,0.584,0.593,0.579,0.587
December_2022,Acro,Acro_acute_D_H,39,1,0.629,0.623,0.636,0.63,0.643,0.6322
December_2022,Acro,Acro_acute_D_D,40,2,0.48,0.49,0.54,0.503,0.53,0.5086
December_2022,Acro,Acro_acute_D_H,41,2,0.563,0.506,0.487,0.547,0.53,0.5266
December_2022,Acro,Acro_acute_D_H,42,3,0.529,0.566,0.577,0.561,0.58,0.5626
December_2022,Acro,Acro_acute_D_D,42,3,0.518,0.521,0.493,0.513,0.524,0.5138
December_2022,Acro,Acro_acute_D_H,43,4,0.594,0.545,0.529,0.528,0.57,0.5532
December_2022,Acro,Acro_acute_D_D,43,4,0.428,0.469,0.434,0.536,0.513,0.476
December_2022,Acro,Acro_acute_D_H,44,5,0.522,0.5,0.483,0.503,0.447,0.491
December_2022,Acro,Acro_acute_D_D,44,5,0.348,0.406,0.352,0.38,0.373,0.3718
December_2022,Acro,Acro_GA_D_H,45,1,0.467,0.484,0.472,0.433,0.475,0.4662
December_2022,Acro,Acro_GA_D_D,45,1,0.467,0.499,0.481,0.5,0.448,0.479
December_2022,Acro,Acro_GA_D_H,46,2,0.571,0.558,0.463,0.504,0.454,0.51
December_2022,Acro,Acro_GA_D_D,46,2,0.627,0.639,0.59,0.599,0.499,0.5908
December_2022,Acro,Acro_GA_D_H,47,3,0.525,0.463,0.472,0.493,0.505,0.4916
December_2022,Acro,Acro_GA_D_D,47,3,0.628,0.661,0.589,0.59,0.645,0.6226
December_2022,Acro,Acro_GA_D_D,48,4,0.611,0.564,0.457,0.542,0.493,0.5334
December_2022,Acro,Acro_GA_D_H,49,4,0.518,0.501,0.554,0.514,0.499,0.5172
December_2022,Acro,Acro_GA_D_D,50,5,0.642,0.646,0.642,0.647,0.642,0.6438
December_2022,Acro,Acro_GA_D_H,50,5,0.593,0.614,0.589,0.576,0.564,0.5872
December_2022,Acro,Acro_H,51,1,0.587,0.615,0.578,0.603,0.59,0.5946
December_2022,Acro,Acro_H,52,2,0.524,0.542,0.566,0.528,0.504,0.5328
December_2022,Acro,Acro_H,53,3,0.594,0.619,0.615,0.609,0.594,0.6062
December_2022,Acro,Acro_H,54,4,0.531,0.54,0.55,0.614,0.575,0.562
December_2022,Acro,Acro_H,55,5,0.586,0.548,0.565,0.555,0.557,0.5622
September_2022,Monti,Monti_H,56,1,0.333,0.319,0.387,0.396,0.474,0.3818
September_2022,Monti,Monti_H,57,2,0.467,0.448,0.435,0.457,0.448,0.451
September_2022,Monti,Monti_H,58,3,0.609,0.634,0.579,0.575,0.534,0.5862
September_2022,Monti,Monti_H,59,4,0.536,0.541,0.538,0.525,0.537,0.5354
September_2022,Monti,Monti_H,60,5,0.584,0.493,0.505,0.465,0.425,0.4944